日期,收盘,开盘,高,低,交易量,涨跌幅
2021年10月29日,3267.25 ,3241.91 ,"3,267.25","3,239.08",3.48B,0.85%
2021年10月28日,3239.61 ,3240.54 ,"3,252.73","3,223.72",2.99B,-0.23%
2021年10月27日,3247.10 ,3282.26 ,"3,282.26","3,236.15",2.80B,-1.31%
2021年10月26日,3290.04 ,3312.30 ,"3,327.66","3,285.23",2.60B,-0.67%
2021年10月25日,3312.30 ,3295.25 ,"3,316.57","3,284.89",2.83B,-0.18%
2021年10月22日,3318.13 ,3287.93 ,"3,336.73","3,282.88",3.13B,1.21%
2021年10月21日,3278.54 ,3256.61 ,"3,294.05","3,253.57",3.13B,0.72%
2021年10月20日,3255.00 ,3264.47 ,"3,282.57","3,242.10",2.76B,-0.05%
2021年10月19日,3256.67 ,3227.01 ,"3,265.51","3,226.07",2.91B,0.84%
2021年10月18日,3229.63 ,3289.32 ,"3,289.32","3,213.24",3.24B,-1.98%
2021年10月15日,3294.83 ,3258.57 ,"3,301.15","3,251.10",3.26B,0.74%
2021年10月14日,3270.69 ,3289.98 ,"3,301.91","3,264.25",2.41B,-0.67%
2021年10月13日,3292.76 ,3257.40 ,"3,307.23","3,243.61",2.88B,1.02%
2021年10月12日,3259.38 ,3266.02 ,"3,280.06","3,232.32",3.50B,-0.52%
2021年10月11日,3276.41 ,3264.72 ,"3,318.15","3,263.16",3.84B,0.62%
2021年10月8日,3256.26 ,3229.07 ,"3,263.93","3,215.56",3.89B,1.85%
2021年9月30日,3196.99 ,3202.02 ,"3,213.56","3,189.18",2.97B,-0.07%
2021年9月29日,3199.23 ,3186.12 ,"3,222.28","3,160.39",4.08B,-0.37%
2021年9月28日,3211.15 ,3197.04 ,"3,224.57","3,173.85",3.81B,0.35%
2021年9月27日,3199.97 ,3162.43 ,"3,218.88","3,162.43",4.23B,1.74%
2021年9月24日,3145.11 ,3120.43 ,"3,173.05","3,120.43",3.54B,0.55%
2021年9月23日,3127.82 ,3135.75 ,"3,159.97","3,116.56",3.78B,0.18%
